sequence,kind,id,name,slug,description,category,tags,sources,event,inventory_status,collectible,order_key,order_value,trade_sell_value,trade_buy_value,trade_buy_quantity,life_coins,shop_level,mosslax,storage_capacity,habitat_item_category_ids,favorite_category_ids,image_url,variant_image_urls,source_page,source,filename,relative_path,downloaded_url,content_type,bytes,sha256,status,error
0141,placeable_item,1381,Healthy hedge,healthy-hedge,A hedge that has grown tall in the sunshine. Looking at it seems to fill you with vigor.,Nature,[],[],,in-collection,,nature_order,51,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/healthy-hedge.png,"[""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]""]",https://pokopiadex.com/items/healthy-hedge,pokopiadex_items_in_collection,0141-healthy-hedge.png,assets/pokopia_image_sources/item_portraits/0141-healthy-hedge.png,https://pokopiadex.com/images/items/item_ui/healthy-hedge.png,image/png,47732,5c6d238fe055faf8f292be88250890e951d98582da43e31564380885f493215f,ok,
0142,placeable_item,1301,Damp hedge,damp-hedge,A hedge with lustrous flowers blooming on it. It might be even more beautiful on a rainy day.,Nature,[],[],,in-collection,,nature_order,52,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/damp-hedge.png,"[""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]""]",https://pokopiadex.com/items/damp-hedge,pokopiadex_items_in_collection,0142-damp-hedge.png,assets/pokopia_image_sources/item_portraits/0142-damp-hedge.png,https://pokopiadex.com/images/items/item_ui/damp-hedge.png,image/png,46247,d1d965ce3ad04676a46a6757c319899bcc14a7bbae4cbc2fe023db5a23f143fb,ok,
0143,placeable_item,1382,Stylish hedge,stylish-hedge,"With petals blooming one atop the other, this fluffy hedge looks just like Mareep's wool.",Nature,[],[],,in-collection,,nature_order,53,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/stylish-hedge.png,"[""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]"",""https://pokopiadex.com/[object%20Object]""]",https://pokopiadex.com/items/stylish-hedge,pokopiadex_items_in_collection,0143-stylish-hedge.png,assets/pokopia_image_sources/item_portraits/0143-stylish-hedge.png,https://pokopiadex.com/images/items/item_ui/stylish-hedge.png,image/png,48053,8ce93766a605932c07fbbbfeb72ca52040e14d623d447602d88fa3c2bfd1435b,ok,
0144,placeable_item,1383,Square plant,square-plant,"A bush that has grown thick, dense leaves. You can make a hedge by joining a few of these together.",Nature,[],[],,in-collection,,nature_order,54,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/square-plant.png,[],https://pokopiadex.com/items/square-plant,pokopiadex_items_in_collection,0144-square-plant.png,assets/pokopia_image_sources/item_portraits/0144-square-plant.png,https://pokopiadex.com/images/items/item_ui/square-plant.png,image/png,42841,0fb23c1b50f3b6e3041882f80066a322d0aec827541886fa34e97b70bbeefce3,ok,
0145,placeable_item,1384,Leppa tree stump,leppa-tree-stump,A stump left behind after cutting down a Leppa tree. It looks like it would make a great seat.,Nature,[],[],,in-collection,,nature_order,55,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/leppa-tree-stump.png,[],https://pokopiadex.com/items/leppa-tree-stump,pokopiadex_items_in_collection,0145-leppa-tree-stump.png,assets/pokopia_image_sources/item_portraits/0145-leppa-tree-stump.png,https://pokopiadex.com/images/items/item_ui/leppa-tree-stump.png,image/png,19985,c0dab11c3c47f6225a999c7940fa7b01c45223688f987348fa0324a6fa0688e2,ok,
0146,placeable_item,1385,Palm tree stump,palm-tree-stump,"Sit on this stump, gaze out at the sea, and enjoy total relaxation.",Nature,[],[],,in-collection,,nature_order,56,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/palm-tree-stump.png,[],https://pokopiadex.com/items/palm-tree-stump,pokopiadex_items_in_collection,0146-palm-tree-stump.png,assets/pokopia_image_sources/item_portraits/0146-palm-tree-stump.png,https://pokopiadex.com/images/items/item_ui/palm-tree-stump.png,image/png,20873,4186e3e3a8d22ed39789f6d509fe904f0bc743661bd1b1558d3317b3fd893f89,ok,
0147,placeable_item,1386,Pointy tree stump,pointy-tree-stump,The remains of a felled pointy tree. The stump itself is round and not pointy at all.,Nature,[],[],,in-collection,,nature_order,57,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/pointy-tree-stump.png,[],https://pokopiadex.com/items/pointy-tree-stump,pokopiadex_items_in_collection,0147-pointy-tree-stump.png,assets/pokopia_image_sources/item_portraits/0147-pointy-tree-stump.png,https://pokopiadex.com/images/items/item_ui/pointy-tree-stump.png,image/png,21808,e7e9e8947d6fdcca8ca0565904b22fb3a98120bc5610cd6e694d3c855d6246d0,ok,
0148,placeable_item,1387,Driftwood,driftwood,The remains of a tree that washed ashore. It would look great as a piece of interior décor.,Nature,[],[],,in-collection,,nature_order,58,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/driftwood.png,[],https://pokopiadex.com/items/driftwood,pokopiadex_items_in_collection,0148-driftwood.png,assets/pokopia_image_sources/item_portraits/0148-driftwood.png,https://pokopiadex.com/images/items/item_ui/driftwood.png,image/png,26000,2993752b7e9d9e587c543e8dbe1d2f5305e82f203ff99af3d2b95b6fce9f7da5,ok,
0149,placeable_item,1388,Sticky web,sticky-web,"A web that clings to walls or rocks. If you get tangled in it, you might have a hard time moving.",Nature,[],[],,in-collection,,nature_order,59,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/sticky-web.png,[],https://pokopiadex.com/items/sticky-web,pokopiadex_items_in_collection,0149-sticky-web.png,assets/pokopia_image_sources/item_portraits/0149-sticky-web.png,https://pokopiadex.com/images/items/item_ui/sticky-web.png,image/png,21989,cd4dbd6f46645bb76cf4be0610b9434fcace7cfa36d6915e3a1dc499f6441cfa,ok,
0150,placeable_item,1314,Large boulder,large-boulder,"A large, heavy boulder. Looks like even hardened fists couldn't break this.",Nature,[],[],,in-collection,,nature_order,60,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/large-boulder.png,[],https://pokopiadex.com/items/large-boulder,pokopiadex_items_in_collection,0150-large-boulder.png,assets/pokopia_image_sources/item_portraits/0150-large-boulder.png,https://pokopiadex.com/images/items/item_ui/large-boulder.png,image/png,28455,37ae44cf3edd6f90affc79c6566e1261bbadc70f306655b5e933b1c2ba886117,ok,
0151,placeable_item,1315,Mossy boulder,mossy-boulder,The dense moss clinging to it can't be peeled off.,Nature,[],[],,in-collection,,nature_order,61,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/mossy-boulder.png,[],https://pokopiadex.com/items/mossy-boulder,pokopiadex_items_in_collection,0151-mossy-boulder.png,assets/pokopia_image_sources/item_portraits/0151-mossy-boulder.png,https://pokopiadex.com/images/items/item_ui/mossy-boulder.png,image/png,37069,1a2cf7a982e1ebb1f0dbf72b98b10458cad77717c4368c3f4806089f789f86f6,ok,
0152,placeable_item,1348,Molten rock,molten-rock,Lava that's cooling and hardening. Pour water on it to instantly harden it.,Nature,[],[],,in-collection,,nature_order,62,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/molten-rock.png,[],https://pokopiadex.com/items/molten-rock,pokopiadex_items_in_collection,0152-molten-rock.png,assets/pokopia_image_sources/item_portraits/0152-molten-rock.png,https://pokopiadex.com/images/items/item_ui/molten-rock.png,image/png,39095,80e86aa1478d567c694bb6a9c4191420d86395a48dbc64a8fbe293e152a92698,ok,
0153,placeable_item,1389,Cooled molten rock,cooled-molten-rock,Molten rock that has been cooled with water. Heat it up again by placing it near lava!,Nature,[],[],,in-collection,,nature_order,63,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/cooled-molten-rock.png,[],https://pokopiadex.com/items/cooled-molten-rock,pokopiadex_items_in_collection,0153-cooled-molten-rock.png,assets/pokopia_image_sources/item_portraits/0153-cooled-molten-rock.png,https://pokopiadex.com/images/items/item_ui/cooled-molten-rock.png,image/png,34599,6bf0e763cbabdeafb3e5f43cebaabb0cfa64f1036f0e0ae903ac689a94e2a40e,ok,
0154,placeable_item,761,Stalagmites,stalagmites,Mineral formations that jut from the ground in limestone caverns. They look like big Pokémon fangs!,Nature,[],[],,in-collection,,nature_order,64,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/stalagmites.png,[],https://pokopiadex.com/items/stalagmites,pokopiadex_items_in_collection,0154-stalagmites.png,assets/pokopia_image_sources/item_portraits/0154-stalagmites.png,https://pokopiadex.com/images/items/item_ui/stalagmites.png,image/png,32541,2eef9031c3797bc182f9f361e56c130a03af223a6625109e65deefe9a537c68f,ok,
0155,placeable_item,1390,Stalactites,stalactites,Dissolved limestone that has rehardened. These hang from the ceilings of limestone caverns.,Nature,[],[],,in-collection,,nature_order,65,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/stalactites.png,[],https://pokopiadex.com/items/stalactites,pokopiadex_items_in_collection,0155-stalactites.png,assets/pokopia_image_sources/item_portraits/0155-stalactites.png,https://pokopiadex.com/images/items/item_ui/stalactites.png,image/png,32413,c5cac620a9a28bbd7512d14f2fc4c663a560fc0e4225ec2298b3b0345507fc7f,ok,
0156,placeable_item,1391,Icicle,icicle,Formed when moisture on the ceiling freezes into ice. Place these to cool the surrounding area.,Nature,[],[],,in-collection,,nature_order,66,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/icicle.png,[],https://pokopiadex.com/items/icicle,pokopiadex_items_in_collection,0156-icicle.png,assets/pokopia_image_sources/item_portraits/0156-icicle.png,https://pokopiadex.com/images/items/item_ui/icicle.png,image/png,27195,681e5e1dd51adb96e214059fca195f5914f91425656319f1fbc48c34d9455477,ok,
0157,placeable_item,1392,Crystal cluster,crystal-cluster,Gemstones that brightly sparkle in caves. Shatter one and use the pieces to make something!,Nature,[],[],,in-collection,,nature_order,67,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/crystal-cluster.png,[],https://pokopiadex.com/items/crystal-cluster,pokopiadex_items_in_collection,0157-crystal-cluster.png,assets/pokopia_image_sources/item_portraits/0157-crystal-cluster.png,https://pokopiadex.com/images/items/item_ui/crystal-cluster.png,image/png,34753,ca85c4f2612719fc50d7e0e70cf91f83f000d3346244bbe1b89694a2e4f0d328,ok,
0158,placeable_item,1393,Strength rock,strength-rock,"Though this boulder is incredibly big, it looks like you could use Strength to push it.",Nature,[],[],,in-collection,,nature_order,68,,,,,,,,[],[2213],https://pokopiadex.com/images/items/item_ui/strength-rock.png,[],https://pokopiadex.com/items/strength-rock,pokopiadex_items_in_collection,0158-strength-rock.png,assets/pokopia_image_sources/item_portraits/0158-strength-rock.png,https://pokopiadex.com/images/items/item_ui/strength-rock.png,image/png,20048,009c5bb4b295fe3a9f589a0660c934e5d64f06172538a9b9924a6712a4a9500b,ok,
0159,placeable_item,1044,Dandy flower seeds,dandy-flower-seeds,Seeds that blossom into dandy flowers once grown. Try planting them in some soil!,Nature,[],"[""Trade 5 Cotton spores to Hoppip""]",More Spores for Hoppip,in-collection,,nature_order,1,,,,,0,,,[],[],https://pokopiadex.com/images/items/item_ui/dandy-flower-seeds.png,[],https://pokopiadex.com/items/dandy-flower-seeds,pokopiadex_items_in_collection,0159-dandy-flower-seeds.png,assets/pokopia_image_sources/item_portraits/0159-dandy-flower-seeds.png,https://pokopiadex.com/images/items/item_ui/dandy-flower-seeds.png,image/png,194075,7d5461b8365c7330ec0f491fcb3e8b936ab6831ccb34589860223f2b2001ba0f,ok,
0160,placeable_item,1043,Dandy flowers,dandy-flowers,Fluffy yellow flowers that seem fine and dandy. They bloom in the sunlight.,Nature,[],"[""Grows from dandy flower seeds""]",More Spores for Hoppip,in-collection,,nature_order,2,,,,,0,,,[],[],https://pokopiadex.com/images/items/item_ui/dandy-flowers.png,[],https://pokopiadex.com/items/dandy-flowers,pokopiadex_items_in_collection,0160-dandy-flowers.png,assets/pokopia_image_sources/item_portraits/0160-dandy-flowers.png,https://pokopiadex.com/images/items/item_ui/dandy-flowers.png,image/png,194075,7d5461b8365c7330ec0f491fcb3e8b936ab6831ccb34589860223f2b2001ba0f,ok,
0161,placeable_item,207,Leaf den kit,leaf-den-kit,Gather some Pokémon and build away! This makes a den for medium-sized Pokémon or smaller.,Kits,[],"[""Inspect shiny water spot""]",,in-collection,,kits_order,1,,,,100,,,,[],[],https://pokopiadex.com/images/items/shop_ui/leaf-den-kit.png,[],https://pokopiadex.com/items/leaf-den-kit,pokopiadex_items_in_collection,0161-leaf-den-kit.png,assets/pokopia_image_sources/item_portraits/0161-leaf-den-kit.png,https://pokopiadex.com/images/items/shop_ui/leaf-den-kit.png,image/png,318488,f14b23f906269227a5c7ff4dfaf0d6c800002123fb3f185ea3174ac107f2a7f0,ok,
0162,placeable_item,439,Leaf hut kit,leaf-hut-kit,Gather some Pokémon and build away! This makes a hut that any Pokémon could easily live in.,Kits,[],"[""inspect shiny water ripples""]",,in-collection,,kits_order,2,,,,200,,,,[],[],https://pokopiadex.com/images/items/shop_ui/leaf-hut-kit.png,[],https://pokopiadex.com/items/leaf-hut-kit,pokopiadex_items_in_collection,0162-leaf-hut-kit.png,assets/pokopia_image_sources/item_portraits/0162-leaf-hut-kit.png,https://pokopiadex.com/images/items/shop_ui/leaf-hut-kit.png,image/png,446839,39a87be4b1c3a664c4a548333a90b0d7eb0b9fb1f866e07e5dda0b6cc748db37,ok,
0163,placeable_item,403,Leaf cottage kit,leaf-cottage-kit,Gather some Pokémon and build away! This makes a place where two Pokémon can relax.,Kits,[],"[""Inspect shiny water spot""]",,in-collection,,kits_order,3,,,,500,,,,[],[],https://pokopiadex.com/images/items/shop_ui/leaf-cottage-kit.png,[],https://pokopiadex.com/items/leaf-cottage-kit,pokopiadex_items_in_collection,0163-leaf-cottage-kit.png,assets/pokopia_image_sources/item_portraits/0163-leaf-cottage-kit.png,https://pokopiadex.com/images/items/shop_ui/leaf-cottage-kit.png,image/png,452974,0c37f633f67e396997eca020961585bf146bd6c658be4b5708f432c93f0adb27,ok,
0164,placeable_item,645,Leaf house kit,leaf-house-kit,Gather some Pokémon and build away! Let's make a ginormous house where everyone can live together!,Kits,[],"[""inspect shiny water ripples""]",,in-collection,,kits_order,4,,,,1000,,,,[],[],https://pokopiadex.com/images/items/shop_ui/leaf-house-kit.png,[],https://pokopiadex.com/items/leaf-house-kit,pokopiadex_items_in_collection,0164-leaf-house-kit.png,assets/pokopia_image_sources/item_portraits/0164-leaf-house-kit.png,https://pokopiadex.com/images/items/shop_ui/leaf-house-kit.png,image/png,509960,89d3acfe8026adf75dd425d10773749571c9afc92c1b0e8ae3b5e24b5b67e0c0,ok,
0165,placeable_item,1200,Sand den kit,sand-den-kit,Gather some Pokémon and build away! This makes a den for medium-sized Pokémon or smaller.,Kits,[],[],,in-collection,,kits_order,5,,,,100,,,,[],[],https://pokopiadex.com/images/items/shop_ui/sand-den-kit.png,[],https://pokopiadex.com/items/sand-den-kit,pokopiadex_items_in_collection,0165-sand-den-kit.png,assets/pokopia_image_sources/item_portraits/0165-sand-den-kit.png,https://pokopiadex.com/images/items/shop_ui/sand-den-kit.png,image/png,37456,555f160cb6a4656e2f7d21895002141c8618f80ac8659f9c27de271adfcac952,ok,
0166,placeable_item,1202,Sand hut kit,sand-hut-kit,Gather some Pokémon and build away! This makes a hut that any Pokémon could easily live in.,Kits,[],[],,in-collection,,kits_order,6,,,,200,,,,[],[],https://pokopiadex.com/images/items/shop_ui/sand-hut-kit.png,[],https://pokopiadex.com/items/sand-hut-kit,pokopiadex_items_in_collection,0166-sand-hut-kit.png,assets/pokopia_image_sources/item_portraits/0166-sand-hut-kit.png,https://pokopiadex.com/images/items/shop_ui/sand-hut-kit.png,image/png,46641,c818914b6a6dc6ef6e06a75b04c7898e9ce5422c0e7762909a6aedd90f93530d,ok,
0167,placeable_item,1199,Sand cottage kit,sand-cottage-kit,Gather some Pokémon and build away! This makes a place where two Pokémon can relax.,Kits,[],"[""inspect shiny water ripples""]",,in-collection,,kits_order,7,,,,500,,,,[],[],https://pokopiadex.com/images/items/shop_ui/sand-cottage-kit.png,[],https://pokopiadex.com/items/sand-cottage-kit,pokopiadex_items_in_collection,0167-sand-cottage-kit.png,assets/pokopia_image_sources/item_portraits/0167-sand-cottage-kit.png,https://pokopiadex.com/images/items/shop_ui/sand-cottage-kit.png,image/png,62032,797411266e177ddb2e249d54a90bbad02686d6457564a16d46ea6e2f2365940f,ok,
0168,placeable_item,1201,Sand house kit,sand-house-kit,Gather some Pokémon and build away! Let's make a ginormous house where everyone can live together.,Kits,[],[],,in-collection,,kits_order,8,,,,1000,,,,[],[],https://pokopiadex.com/images/items/shop_ui/sand-house-kit.png,[],https://pokopiadex.com/items/sand-house-kit,pokopiadex_items_in_collection,0168-sand-house-kit.png,assets/pokopia_image_sources/item_portraits/0168-sand-house-kit.png,https://pokopiadex.com/images/items/shop_ui/sand-house-kit.png,image/png,78983,d10510189a8f95229590c74fea761240b291ff2eece99bd222259b29959073ef,ok,
0169,placeable_item,726,Stone den kit,stone-den-kit,Gather some Pokémon and build away! This makes a den for medium-sized Pokémon or smaller.,Kits,[],"[""inspect shiny water ripples""]",,in-collection,,kits_order,9,,,,100,,,,[],[],https://pokopiadex.com/images/items/shop_ui/stone-den-kit.png,[],https://pokopiadex.com/items/stone-den-kit,pokopiadex_items_in_collection,0169-stone-den-kit.png,assets/pokopia_image_sources/item_portraits/0169-stone-den-kit.png,https://pokopiadex.com/images/items/shop_ui/stone-den-kit.png,image/png,266745,dcc3e5ecbb989d9d0aac39f679bfae9daf676d1cf122e13300392c12f2b5bbd2,ok,
0170,placeable_item,864,Stone hut kit,stone-hut-kit,Gather some Pokémon and build away! This makes a hut that any Pokémon could easily live in.,Kits,[],"[""inspect shiny water ripples""]",,in-collection,,kits_order,10,,,,200,,,,[],[],https://pokopiadex.com/images/items/shop_ui/stone-hut-kit.png,[],https://pokopiadex.com/items/stone-hut-kit,pokopiadex_items_in_collection,0170-stone-hut-kit.png,assets/pokopia_image_sources/item_portraits/0170-stone-hut-kit.png,https://pokopiadex.com/images/items/shop_ui/stone-hut-kit.png,image/png,192199,7a60c391ce1a7a6ee3bf4c1a819ed8ad4796b5a38c3bf0c8eacd49a4c6f1efba,ok,
0171,placeable_item,1204,Stone cottage kit,stone-cottage-kit,Gather some Pokémon and build away! This makes a place where two Pokémon can relax.,Kits,[],[],,in-collection,,kits_order,11,,,,500,,,,[],[],https://pokopiadex.com/images/items/shop_ui/stone-cottage-kit.png,[],https://pokopiadex.com/items/stone-cottage-kit,pokopiadex_items_in_collection,0171-stone-cottage-kit.png,assets/pokopia_image_sources/item_portraits/0171-stone-cottage-kit.png,https://pokopiadex.com/images/items/shop_ui/stone-cottage-kit.png,image/png,50853,90a3aa8d2b58e64330f480093a1dcabce651bc8da5be85a14f0e4ea7154415e2,ok,
0172,placeable_item,843,Stone house kit,stone-house-kit,Gather some Pokémon and build away! Let's make a ginormous house where everyone can live together.,Kits,[],"[""inspect shiny water ripples""]",,in-collection,,kits_order,12,,,,100,,,,[],[],https://pokopiadex.com/images/items/shop_ui/stone-house-kit.png,[],https://pokopiadex.com/items/stone-house-kit,pokopiadex_items_in_collection,0172-stone-house-kit.png,assets/pokopia_image_sources/item_portraits/0172-stone-house-kit.png,https://pokopiadex.com/images/items/shop_ui/stone-house-kit.png,image/png,64120,6b1278dca0f342b273a387b2b6e91bc4d487041fff310b332eff2371cb64a397,ok,
0173,placeable_item,1184,City den kit,city-den-kit,Gather some Pokémon and build away! This makes a den for medium-sized Pokémon or smaller.,Kits,[],[],,in-collection,,kits_order,13,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/city-den-kit.png,[],https://pokopiadex.com/items/city-den-kit,pokopiadex_items_in_collection,0173-city-den-kit.png,assets/pokopia_image_sources/item_portraits/0173-city-den-kit.png,https://pokopiadex.com/images/items/shop_ui/city-den-kit.png,image/png,32023,29e7e17070dcf46b0adef7add7c806d66b915ae1e046b63e4035d639a5988603,ok,
0174,placeable_item,1186,City hut kit,city-hut-kit,Gather some Pokémon and build away! This makes a hut that any Pokémon could easily live in.,Kits,[],[],,in-collection,,kits_order,14,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/city-hut-kit.png,[],https://pokopiadex.com/items/city-hut-kit,pokopiadex_items_in_collection,0174-city-hut-kit.png,assets/pokopia_image_sources/item_portraits/0174-city-hut-kit.png,https://pokopiadex.com/images/items/shop_ui/city-hut-kit.png,image/png,33374,c974915bf56200658c52d6197c2b37090c7576275d44f2cd7fd1c574f73add50,ok,
0175,placeable_item,1183,City cottage kit,city-cottage-kit,Gather some Pokémon and build away! This makes a place where two Pokémon can relax.,Kits,[],[],,in-collection,,kits_order,15,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/city-cottage-kit.png,[],https://pokopiadex.com/items/city-cottage-kit,pokopiadex_items_in_collection,0175-city-cottage-kit.png,assets/pokopia_image_sources/item_portraits/0175-city-cottage-kit.png,https://pokopiadex.com/images/items/shop_ui/city-cottage-kit.png,image/png,43949,b894024aed4b16c6754648841bac9987d1178fc39c78ea884ff64bab7bb99ec0,ok,
0176,placeable_item,1185,City house kit,city-house-kit,Gather some Pokémon and build away! Let's make a ginormous house where everyone can live together.,Kits,[],[],,in-collection,,kits_order,16,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/city-house-kit.png,[],https://pokopiadex.com/items/city-house-kit,pokopiadex_items_in_collection,0176-city-house-kit.png,assets/pokopia_image_sources/item_portraits/0176-city-house-kit.png,https://pokopiadex.com/images/items/shop_ui/city-house-kit.png,image/png,45386,ffff54f9fe562c02181dece71f2488ad66a3833cf6680ab2e4082ca43549ed60,ok,
0177,placeable_item,1196,Poké Ball house kit,poke-ball-house-kit,Gather some Pokémon and build away! This makes a house that looks like a giant Poké Ball.,Kits,[],[],,in-collection,,kits_order,17,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/poke-ball-house-kit.png,[],https://pokopiadex.com/items/poke-ball-house-kit,pokopiadex_items_in_collection,0177-poke-ball-house-kit.png,assets/pokopia_image_sources/item_portraits/0177-poke-ball-house-kit.png,https://pokopiadex.com/images/items/shop_ui/poke-ball-house-kit.png,image/png,55491,1405c08cabd81d3080c6850a2df94458c4444c7f1455d0553dfd6a4c149cbed5,ok,
0178,placeable_item,1197,Poké Mart kit,poke-mart-kit,Gather some Pokémon and build away! This makes a store that somehow always feels a little exciting.,Kits,[],[],,in-collection,,kits_order,18,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/poke-mart-kit.png,[],https://pokopiadex.com/items/poke-mart-kit,pokopiadex_items_in_collection,0178-poke-mart-kit.png,assets/pokopia_image_sources/item_portraits/0178-poke-mart-kit.png,https://pokopiadex.com/images/items/shop_ui/poke-mart-kit.png,image/png,68948,2cfe4dec5bb432917046af0e5a1a46a15ed8f2a84076ef056a5584d7e622c58a,ok,
0179,placeable_item,2035,Wasteland Pokémon Center kit,wasteland-pokemon-center-kit,Use this to remodel a Pokémon Center to make it look just like the Wasteland Pokémon Center.,Kits,[],[],,in-collection,,kits_order,19,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/wasteland-pokemon-center-kit.png,[],https://pokopiadex.com/items/wasteland-pokemon-center-kit,pokopiadex_items_in_collection,0179-wasteland-pokemon-center-kit.png,assets/pokopia_image_sources/item_portraits/0179-wasteland-pokemon-center-kit.png,https://pokopiadex.com/images/items/item_ui/wasteland-pokemon-center-kit.png,image/png,30583,0b5f603f015c507a02784249013f306d07d0eccc2eccf350405db378882c61a4,ok,
0180,placeable_item,2036,Beach Pokémon Center kit,beach-pokemon-center-kit,Use this to remodel a Pokémon Center to make it look just like the Beach Pokémon Center.,Kits,[],[],,in-collection,,kits_order,20,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/beach-pokemon-center-kit.png,[],https://pokopiadex.com/items/beach-pokemon-center-kit,pokopiadex_items_in_collection,0180-beach-pokemon-center-kit.png,assets/pokopia_image_sources/item_portraits/0180-beach-pokemon-center-kit.png,https://pokopiadex.com/images/items/item_ui/beach-pokemon-center-kit.png,image/png,31652,1f501307e41e8fac0ff3a189ace622757fde8f11c12765fbfd71030492f218d4,ok,
0181,placeable_item,2037,Ridge Pokémon Center kit,ridge-pokemon-center-kit,Use this to remodel a Pokémon Center to make it look just like the Ridge Pokémon Center.,Kits,[],[],,in-collection,,kits_order,21,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/ridge-pokemon-center-kit.png,[],https://pokopiadex.com/items/ridge-pokemon-center-kit,pokopiadex_items_in_collection,0181-ridge-pokemon-center-kit.png,assets/pokopia_image_sources/item_portraits/0181-ridge-pokemon-center-kit.png,https://pokopiadex.com/images/items/item_ui/ridge-pokemon-center-kit.png,image/png,31239,77a4058035451c207f23d27c3320f7e54c087bd6b8629eec25f0d62c604c6e1b,ok,
0182,placeable_item,2038,Skyland Pokémon Center kit,skyland-pokemon-center-kit,Use this to remodel a Pokémon Center to make it look just like the Skyland Pokémon Center.,Kits,[],[],,in-collection,,kits_order,22,,,,,,,,[],[],https://pokopiadex.com/images/items/item_ui/skyland-pokemon-center-kit.png,[],https://pokopiadex.com/items/skyland-pokemon-center-kit,pokopiadex_items_in_collection,0182-skyland-pokemon-center-kit.png,assets/pokopia_image_sources/item_portraits/0182-skyland-pokemon-center-kit.png,https://pokopiadex.com/images/items/item_ui/skyland-pokemon-center-kit.png,image/png,30689,6bdf3cbaf7a8405785a4e2481f032b3693605a0fa417583eb5872a6639dda480,ok,
0183,placeable_item,1207,Windmill kit,windmill-kit,Gather some Pokémon and build away! This makes a generator that turns wind energy into loads of power.,Kits,[],[],,in-collection,,kits_order,23,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/windmill-kit.png,[],https://pokopiadex.com/items/windmill-kit,pokopiadex_items_in_collection,0183-windmill-kit.png,assets/pokopia_image_sources/item_portraits/0183-windmill-kit.png,https://pokopiadex.com/images/items/shop_ui/windmill-kit.png,image/png,47827,19d7341ba0f99f7c789eb6fc3a09968e1c110d4b2133aebf19b20953414fb49c,ok,
0184,placeable_item,1206,Waterwheel kit,waterwheel-kit,Gather some Pokémon and build away! This makes a generator that uses water to produce tons of power.,Kits,[],[],,in-collection,,kits_order,24,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/waterwheel-kit.png,[],https://pokopiadex.com/items/waterwheel-kit,pokopiadex_items_in_collection,0184-waterwheel-kit.png,assets/pokopia_image_sources/item_portraits/0184-waterwheel-kit.png,https://pokopiadex.com/images/items/shop_ui/waterwheel-kit.png,image/png,74248,3ced8f93637db378a909a02ca77d491981fa37d7cd00334bb663d4bceb7752a1,ok,
0185,placeable_item,1190,Furnace kit,furnace-kit,Gather some Pokémon and build away! This makes a generator that burns stuff to produce heaps of power.,Kits,[],[],,in-collection,,kits_order,25,,,,,,,,[],[],https://pokopiadex.com/images/items/shop_ui/furnace-kit.png,[],https://pokopiadex.com/items/furnace-kit,pokopiadex_items_in_collection,0185-furnace-kit.png,assets/pokopia_image_sources/item_portraits/0185-furnace-kit.png,https://pokopiadex.com/images/items/shop_ui/furnace-kit.png,image/png,60525,25f80c8cd1d5176c446a9ebc58bdb29d24cce03581f63fcc2ad814c2cbba24d5,ok,
