编号	形态编号	中文名	形态名	日文名	英文名	属性1	属性2	特长	时间	天气	栖息地	喜欢的环境	喜欢的东西	分类	图鉴说明	身高	体重
101	0	吉利蛋		ラッキー	Chansey	一般	一般	交易	1111	111	081	明亮	柔软的|布制的|能治愈伤口的|圆圆的|大家一起用的|甜甜的	蛋	性格温柔的宝可梦，当它看到受伤的宝可梦时，会把营养丰富的蛋分给对方。	1.1	34.6
102	0	幸福蛋		ハピナス	Blissey	一般	一般	交易|乱撒	1111	111	095	明亮	柔软的|布制的|能治愈伤口的|圆圆的|大家一起用的|酸酸的	幸福	幸福蛋生的蛋里饱含幸福，只要吃上一口，不管是谁都会笑逐颜开。	1.5	46.8
103	0	电击怪		エレキッド	Elekid	电	电	发电	1111	111	084	明亮	电力驱动的|有玻璃的|可爱的|圆圆的|旋转的|甜甜的	电气	会一圈圈抡动双臂产生电力，但很快就会感到疲惫，因此只能储存少量电力。	0.6	23.5
104	0	电击兽		エレブー	Electabuzz	电	电	发电	1111	111	072|064	明亮	电力驱动的|有玻璃的|能感受火的|尖尖的|训练用的|辣辣的	电击	全身总是在放电，因此接近它的话，头发就会竖起来。	1.1	30.0
105	0	电击魔兽		エレキブル	Electivire	电	电	发电|碾压	1111	111	072|084	明亮	电力驱动的|有玻璃的|能感受火的|坚硬的|训练用的|酸酸的	雷电	只要１只电击魔兽就能提供一座大城市的建筑物１年所需的全部电力。	1.8	138.6
106	0	拉普拉斯		ラプラス	Lapras	水	冰	滋润	1111	111	060	潮湿	能感受水的|能感受海的|整洁的|用于观赏的|能治愈伤口的|酸酸的	乘载	头脑聪慧，心地善良的宝可梦。会一边以优美的声音歌唱，一边畅游于大海之上。	2.5	220.0
107	0	小卡比兽		ゴンベ	Munchlax	一般	一般	重踏	1111	111	047|030	温暖	柔软的|能感受大自然的|很像食物的|摇摇晃晃的|大家一起用的|涩涩的	大胃王	会在拼命进食的途中忘记藏到体毛下的食物。	0.6	105.0
108	0	卡比兽	萌苔	カビゴン	Snorlax	一般	一般	贪吃鬼	1111	111	093	明亮	柔软的|布制的|很像食物的|用于观赏的|奇妙的|辣辣的	瞌睡	打架输了后赌气睡觉，结果被土埋住了。睡着睡着，逐渐忘记了和谁打的架。	2.3	488.2
108	1	卡比兽		カビゴン	Snorlax	一般	一般	交易|重踏	1111	111	048|047	温暖	柔软的|布制的|很像食物的|摇摇晃晃的|交通工具|涩涩的	瞌睡	平时不是吃就是睡，但如果因某些事而认真起来的话，好像就会发挥出惊人的力量。	2.1	460.0
109	0	圆丝蛛		イトマル	Spinarak	虫	虫	乱撒	1111	111	050	潮湿	能感受大自然的|木制的|垃圾|交通工具|多彩的|苦苦的	吐丝	由它吐丝制成的巢穴非常坚固。即便放上１０公斤重的岩石也不会破掉。	0.5	8.5
110	0	阿利多斯		アリアドス	Ariados	虫	毒	乱撒	1111	111	050	潮湿	能感受大自然的|木制的|垃圾|交通工具|多彩的|酸酸的	长腿	不仅会从臀部，还会从口中吐出丝来，所以仅凭眼睛看，无法分清哪边才是头。	1.1	33.5
111	0	咩利羊		メリープ	Mareep	电	电	发电|乱撒	1111	111	077|055	明亮	电力驱动的|闪亮亮的|有玻璃的|可爱的|布制的|甜甜的	绵毛	身体里储存了静电后，体毛就会膨胀到平时的２倍。一旦触摸就会触电。	0.6	7.8
112	0	茸茸羊		モココ	Flaaffy	电	电	发电|乱撒	1111	111	074|077	明亮	电力驱动的|闪亮亮的|有玻璃的|可爱的|交通工具|苦苦的	绵毛	由于储存了过多电力，造成它身体表面有些部分连绒毛都长不出来了。	0.8	13.3
113	0	电龙		デンリュウ	Ampharos	电	电	发电|交易	1111	111	097	明亮	电力驱动的|闪亮亮的|有玻璃的|可爱的|百花盛开|酸酸的	灯	每当天色变暗，尾巴就会发出耀眼的光辉，即使是从遥远的海上也能被发现。	1.4	61.5
114	0	露力丽		ルリリ	Azurill	一般	妖精	滋润|带动气氛	1111	111	053|062	潮湿	能感受水的|可爱的|整洁的|能治愈伤口的|交通工具|酸酸的	水珠	又圆又大的尾巴里贮满了它在成长时所需要的营养。	0.2	2.0
115	0	玛力露		マリル	Marill	水	妖精	滋润|带动气氛	1111	111	088|053	潮湿	能感受水的|可爱的|整洁的|圆圆的|象征的|酸酸的	水鼠	存满了油脂的尾巴能用来代替浮囊，因此面对湍急的河流也不成问题。	0.4	8.5
116	0	玛力露丽		マリルリ	Azumarill	水	妖精	滋润|建造	1111	001	088	潮湿	能感受水的|可爱的|建设|摇摇晃晃的|象征的|酸酸的	水兔	长长的耳朵是灵敏的感应器。通过聆听水中的声音，能分辨出是什么在动。	0.8	28.5
117	0	乌波	帕底亚的样子	ウパー	Wooper	毒	地面	乱撒	1111	111	054	潮湿	垃圾|能感受土的|石制的|整洁的|大家一起用的|酸酸的	水鱼	在地盘的争夺中落败而到陆地生活，渐渐地就变成用有毒的粘膜来保护身体。	0.4	11.0
118	0	土王		ドオー	Clodsire	毒	地面	乱撒|重踏	1111	111	186|054	潮湿	垃圾|能感受土的|能感受水的|整洁的|圆圆的|苦苦的	刺鱼	栖息在池塘或沼泽的底部。会让乌波坐在自己背上，然后游着泳把它送到对岸去。	1.8	223.0
119	0	图图犬	彩绘匠	ドーブル	Smeargle	一般	一般	彩绘	1111	111	092	明亮	柔软的|布制的|奇妙的|多彩的|闪亮亮的|涩涩的	画画	尾巴尖端会渗出的各种颜色的体液，可以当作颜料使用。梦想有朝一日能描绘出家乡的景色。	1.2	59.2
120	0	火稚鸡		アチャモ	Torchic	火	火	点火	1111	111	069|079	温暖	能感受火的|石制的|可爱的|容器|百花盛开|甜甜的	雏鸡	肚子里有燃烧火焰的囊袋，所以紧紧抱住它的时候，会感到像热水袋一样温暖。	0.4	2.5
121	0	力壮鸡		ワカシャモ	Combusken	火	格斗	点火|建造	1111	111	087|079	温暖	能感受火的|石制的|训练用的|容器|建设|辣辣的	幼鸡	会发出尖锐的叫声来提高注意力。腿技的破坏力超群。	0.9	19.5
122	0	火焰鸡		バシャーモ	Blaziken	火	格斗	点火|建造	1111	111	087|069	温暖	能感受火的|豪华的|训练用的|容器|建设|辣辣的	猛火	遇到强敌时会从手腕喷出火焰。有着能够跃过大楼的脚力。	1.9	52.0
123	0	长翅鸥		キャモメ	Wingull	水	飞行	滋润|飞翔	1110	111	052|058	潮湿	能感受水的|能感受风的|整洁的|能感受海的|用于观赏的|涩涩的	海鸥	会用长长的翅膀迎着海风，像滑翔机一样滑翔。休息的时候会收拢翅膀。	0.6	9.5
124	0	大嘴鸥		ペリッパー	Pelipper	水	飞行	滋润|飞翔	1110	111	058|052	潮湿	能感受水的|能感受风的|整洁的|能感受海的|用于观赏的|涩涩的	水鸟	把孩子放进鸟嘴里保护。风平浪静的日子会浮在海面上小憩。	1.2	28.0
125	0	幕下力士		マクノシタ	Makuhita	格斗	格斗	建造|重踏	1111	111	051|080	明亮	训练用的|建设|布制的|圆圆的|木制的|甜甜的	毅力	会不断地撞击大树来锻炼强韧的身躯和不气馁的心。	1.0	86.4
126	0	铁掌力士		ハリテヤマ	Hariyama	格斗	格斗	建造|重踏	1111	111	051|080	明亮	训练用的|建设|布制的|圆圆的|交通工具|辣辣的	猛推	喜欢和对手比试力气，它拥有的力量足以一掌挡下迎面驶来的列车。	2.3	253.8
127	0	阿勃梭鲁		アブソル	Absol	恶	恶	伐木	1111	111	096	昏暗	柔软的|能感受风的|有文字的|看起来很难懂的|训练用的|涩涩的	灾祸	由于拥有感知危险的能力，因此它被人们误解为是会招来灾祸的宝可梦。	1.2	47.0
128	0	波加曼		ポッチャマ	Piplup	水	水	滋润	1111	111	053	潮湿	能感受水的|能感受海的|能感受风的|整洁的|容器|甜甜的	企鹅	不擅长走路，有时还会跌到，但波加曼强烈的自尊心会让它挺起胸膛，毫不在意。	0.4	5.2
129	0	波皇子		ポッタイシ	Prinplup	水	水	滋润|交易	1111	111	086|053	潮湿	能感受水的|能感受海的|能感受风的|整洁的|容器|涩涩的	企鹅	每一只波皇子都认为自己是最了不起的，因此它们无法形成群体。	0.8	23.0
130	0	帝王拿波		エンペルト	Empoleon	水	钢	滋润|交易	1111	001	068|086	潮湿	能感受水的|能感受海的|金属的|整洁的|有文字的|苦苦的	皇帝	伤害到它自尊心的家伙，会被它用能切断浮冰的翅膀一分为二。	1.7	84.5
131	0	差不多娃娃		タブンネ	Audino	一般	一般	交易	1111	111	091	明亮	柔软的|布制的|能治愈伤口的|可爱的|圆圆的|苦苦的	听力	拥有敏锐的听觉。连２公里以外小石头滚动的声音都能听到。	1.1	31.0
132	0	破破袋		ヤブクロン	Trubbish	毒	毒	回收利用	1111	111	063	潮湿	垃圾|容器|看起来很难懂的|闪亮亮的|群聚的|苦苦的	垃圾袋	喜欢不卫生的地方。如果不及时清理家里的垃圾，破破袋就会过来居住。	0.6	31.0
133	0	灰尘山		ダストダス	Garbodor	毒	毒	回收利用|乱撒	1111	111	063	潮湿	垃圾|容器|看起来很难懂的|闪亮亮的|群聚的|酸酸的	垃圾场	吃掉的垃圾会在体内转化为毒素。毒素的成分会随着吃掉的垃圾而不同。	1.9	107.3
134	0	索罗亚		ゾロア	Zorua	恶	恶	交易	1111	111	056	昏暗	闪亮亮的|豪华的|有玻璃的|可爱的|大家一起用的|酸酸的	恶狐	之所以学会了幻化成其他东西的能力，似乎是因为它的性格比较胆小。	0.7	12.5
135	0	索罗亚克		ゾロアーク	Zoroark	恶	恶	交易|伐木	1111	111	073|056	昏暗	闪亮亮的|豪华的|有玻璃的|奇妙的|大家一起用的|辣辣的	妖狐	时刻为伙伴着想的宝可梦。为保护自己的栖息地和族群，会让敌人看到恐怖的幻象。	1.6	81.1
136	0	泡沫栗鼠		チラーミィ	Minccino	一般	一般	分类	1111	111	075|076	明亮	柔软的|布制的|交通工具|可爱的|整洁的|甜甜的	栗鼠	是喜爱干净的宝可梦。总是把尾巴当做扫帚，来清扫住所的灰尘。	0.4	5.8
137	0	奇诺栗鼠		チラチーノ	Cinccino	一般	一般	分类|回收利用	1111	111	076	明亮	柔软的|布制的|交通工具|可爱的|整洁的|酸酸的	围巾	洁癖使它连一丝灰尘都无法容忍，会把自己身上渗出的油涂在巢上保持清洁。	0.5	7.5
138	0	强颚鸡母虫		アゴジムシ	Grubbin	虫	虫	伐木	1111	111	050|083	明亮	能感受大自然的|电力驱动的|用于观赏的|能感受土的|容器|涩涩的	幼虫	虽然平时生活在土中，但由于会被咕咕挖出来，因此会聚集到电气宝可梦附近。	0.4	4.4
139	0	虫电宝		デンヂムシ	Charjabug	虫	电	发电|伐木	1111	111	083	明亮	能感受大自然的|电力驱动的|用于观赏的|有玻璃的|棱角分明的|苦苦的	蓄电池	会将消化吃下的食物时所产生的电能储藏在电力袋中。	0.5	10.5
140	0	锹农炮虫		クワガノン	Vikavolt	虫	电	发电|伐木	1111	111	009	明亮	能感受大自然的|电力驱动的|训练用的|有玻璃的|能感受风的|涩涩的	锹形虫	会以卓越的机动性来回盘旋于树木之间，并用电磁光束击落鸟宝可梦。	1.5	45.0
141	0	谜拟丘		ミミッキュ	Mimikyu	幽灵	妖精	交易	1111	111	094	昏暗	诡异的|可爱的|电力驱动的|布制的|大家一起用的|苦苦的	画皮	栖息在阳光照射不到的阴暗处。在人们面前现身时会用酷似皮卡丘的布来盖住全身。	0.2	0.7
142	0	布拨		パモ	Pawmi	电	电	发电	1111	111	056|067	明亮	电力驱动的|闪亮亮的|可爱的|有玻璃的|大家一起用的|甜甜的	鼠	脸颊上的电囊尚未发达。必须拼命摩擦前脚的肉球才得以制造出电力。	0.3	2.5
143	0	布土拨		パモット	Pawmo	电	格斗	发电|碾压	1111	111	067|070	明亮	电力驱动的|闪亮亮的|训练用的|有玻璃的|大家一起用的|甜甜的	鼠	当群体受到袭击的时候，会率先挑起战斗，并活用电击的格斗招式打倒敌人。	0.4	6.5
144	0	巴布土拨		パーモット	Pawmot	电	格斗	发电|碾压	1111	111	070	明亮	电力驱动的|闪亮亮的|训练用的|能治愈伤口的|大家一起用的|涩涩的	押掌	蓬松的体毛是蓄电池。可以储存与电动汽车等量的电力。	0.9	41.0
145	0	米立龙	上弓姿势	シャリタツ	Tatsugiri	龙	水	交易	1111	111	071	潮湿	能感受水的|能感受海的|大家一起用的|细长的|群聚的|酸酸的	拟态	非常狡猾奸诈的宝可梦。会假装虚弱来吸引猎物接近，接着让自己同伙的宝可梦发动攻击。	0.3	8.0
145	1	米立龙	下垂姿势	シャリタツ	Tatsugiri	龙	水	交易	1111	111	071	潮湿	能感受水的|能感受海的|大家一起用的|旋转的|棱角分明的|甜甜的	拟态	会装死来欺骗对手。虽然体型小又没力气，却懂得运用智慧来求生。	0.3	8.0
145	2	米立龙	平挺姿势	シャリタツ	Tatsugiri	龙	水	交易	1111	111	071	潮湿	能感受水的|能感受海的|大家一起用的|有文字的|容器|辣辣的	拟态	即使在龙宝可梦当中，它的智商也是名列前茅。会膨胀喉囊来拟态。	0.3	8.0
146	0	阿柏蛇		アーボ	Ekans	毒	毒	找东西	1111	111	106	昏暗	垃圾|用于观赏的|能感受大自然的|细长的|旋转的|辣辣的	蛇	大量栖息在草地等地方。会伸出舌头感知周围的危险。	2.0	6.9
147	0	阿柏怪		アーボック	Arbok	毒	毒	找东西	1111	111	106	昏暗	垃圾|用于观赏的|能感受大自然的|细长的|旋转的|辣辣的	眼镜蛇	腹部的花纹看起来像一张可怕的脸。弱小的敌人只要看到这个花纹就会被吓跑。	3.5	65.0
148	0	皮宝宝		ピィ	Cleffa	妖精	妖精	带动气氛	0001	111	104	昏暗	可爱的|圆圆的|多彩的|能治愈伤口的|交通工具|甜甜的	星形	因为在流星很多的夜晚经常能发现皮宝宝，所以人们说它们是乘着星星而来的。	0.3	3.0
149	0	皮皮		ピッピ	Clefairy	妖精	妖精	带动气氛	0001	111	131|104	昏暗	可爱的|游乐区|百花盛开|能治愈伤口的|大家一起用的|甜甜的	妖精	据说在满月的夜晚，如果能看到皮皮们聚在一起跳舞，就能得到幸福。	0.6	7.5
150	0	皮可西		ピクシー	Clefable	妖精	妖精	带动气氛|交易	0001	111	131|104	昏暗	可爱的|游乐区|百花盛开|能治愈伤口的|大家一起用的|酸酸的	妖精	妖精的一种，不喜欢被人看见自己的身影。据说生活在幽静的深山里。	1.3	40.0
151	0	宝宝丁		ププリン	Igglybuff	一般	妖精	带动气氛	1111	111	107	温暖	柔软的|可爱的|游乐区|能治愈伤口的|会出声的|甜甜的	气球	最喜欢唱歌。像棉花糖一样的身体会散发出微甜的香气。	0.3	1.0
152	0	胖丁		プリン	Jigglypuff	一般	妖精	带动气氛	1111	111	126|107	明亮	柔软的|可爱的|游乐区|能治愈伤口的|摇摇晃晃的|甜甜的	气球	当它圆溜溜的大眼睛转动时就会唱起奇妙又令人惬意的歌曲，让人昏昏欲睡。	0.5	5.5
153	0	胖可丁		プクリン	Wigglytuff	一般	妖精	带动气氛|交易	1111	111	126	明亮	柔软的|可爱的|游乐区|能治愈伤口的|大家一起用的|酸酸的	气球	生起气来就会死命地吸气让自己不断膨胀。有时甚至能胀大到原来的２０倍。	1.0	12.0
154	0	地鼠		ディグダ	Diglett	地面	地面	带动气氛	1111	111	119|099	昏暗	能感受土的|游乐区|可爱的|大家一起用的|细长的|苦苦的	鼹鼠	喜欢阴暗的地方。大部分时间都待在地下，只有在洞窟里会经常探头出来。	0.2	0.8
155	0	三地鼠		ダグトリオ	Dugtrio	地面	地面	带动气氛|碾压	1111	111	123|099	昏暗	能感受土的|游乐区|群聚的|大家一起用的|细长的|辣辣的	鼹鼠	３个脑袋会轮流行动，是为了让周围的土地变得松软而容易挖掘。	0.7	33.3
156	0	腕力		ワンリキー	Machop	格斗	格斗	建造|分类	1111	111	003	明亮	训练用的|建设|石制的|坚硬的|大家一起用的|辣辣的	怪力	通过多次反复上下举动隆隆石来锻炼全身的肌肉。会使用所有的格斗技。	0.8	19.5
157	0	豪力		ゴーリキー	Machoke	格斗	格斗	建造|分类	1111	111	103|127	明亮	训练用的|建设|石制的|坚硬的|大家一起用的|酸酸的	怪力	积极地帮忙做重体力劳动，因为知道这会成为对自己有用的肌肉锻炼。	1.5	70.5
158	0	怪力		カイリキー	Machamp	格斗	格斗	建造|分类	1111	111	117|103	明亮	训练用的|建设|石制的|坚硬的|大家一起用的|辣辣的	怪力	即使是翻斗车也能轻松举起。但是手指很笨拙，所以细微的工作完全不行。	1.6	130.0
159	0	小拳石		イシツブテ	Geodude	岩石	地面	碾压	1111	111	001	昏暗	石制的|坚硬的|旋转的|圆圆的|训练用的|涩涩的	岩石	不动的时候怎么看都是颗小石头。要是因此不小心踩到它，它就会挥舞拳头大发雷霆。	0.4	20.0
160	0	隆隆石		ゴローン	Graveler	岩石	地面	碾压	1111	111	111	昏暗	石制的|坚硬的|旋转的|圆圆的|训练用的|苦苦的	岩石	常在山路上滚来滚去。滚动时从来不关心前面的路上都有什么。	1.0	105.0
161	0	隆隆岩		ゴローニャ	Golem	岩石	地面	碾压|交易	1111	111	111	昏暗	石制的|坚硬的|旋转的|圆圆的|训练用的|酸酸的	重量级	刚蜕皮时浑身都白白的非常柔软，但是接触到空气之后会迅速变坚硬。	1.4	300.0
162	0	鸭嘴宝宝		ブビィ	Magby	火	火	点火	1111	111	008	温暖	能感受火的|石制的|用于观赏的|可爱的|摇摇晃晃的|甜甜的	火种	每次吸气和呼气的时候，都会从嘴巴和鼻子里冒出火花。	0.7	21.4
163	0	鸭嘴火兽		ブーバー	Magmar	火	火	点火	1111	111	116	温暖	能感受火的|石制的|电力驱动的|坚硬的|训练用的|甜甜的	吐火	它是在火山口附近被发现的。会从嘴里吐出火焰。体温高达１２００度。	1.3	44.5
164	0	鸭嘴炎兽		ブーバーン	Magmortar	火	火	点火|碾压	1111	111	122	温暖	能感受火的|石制的|电力驱动的|坚硬的|训练用的|涩涩的	爆炎	从手臂前端发射出摄氏２０００度的火球时，身体会因为高温而稍稍变白。	1.6	68.0
165	0	盆才怪		ウソハチ	Bonsly	岩石	岩石	重踏	1111	111	099	干燥	石制的|坚硬的|能感受大自然的|木制的|圆圆的|酸酸的	盆栽	会从眼睛排出体内多余的水分。该成分接近人类的汗液。	0.5	15.0
166	0	树才怪		ウソッキー	Sudowoodo	岩石	岩石	交易	1111	111	123|099	干燥	石制的|坚硬的|能感受大自然的|木制的|用于观赏的|涩涩的	模仿	总是伪装成树的样子。身体构造比起植物来，好像更接近石头或岩石一类的东西。	1.2	38.0
167	0	黑暗鸦		ヤミカラス	Murkrow	恶	飞行	交易|飞翔	0001	111	105|102	昏暗	闪亮亮的|能感受风的|大家一起用的|豪华的|布制的|苦苦的	黑暗	日落时醒来，夜晚飞行。也有俗话说，黑暗鸦出窝，赶紧要回家。	0.5	2.1
168	0	乌鸦头头		ドンカラス	Honchkrow	恶	飞行	交易|飞翔	0001	111	102|125	昏暗	闪亮亮的|能感受风的|诡异的|有文字的|有玻璃的|苦苦的	大头目	夜行性。只要鸣叫一声，就会有超过１００只的黑暗鸦跟班聚集起来。	0.9	27.3
169	0	幼基拉斯		ヨーギラス	Larvitar	岩石	地面	碾压|重踏	1111	111	110	昏暗	石制的|能感受土的|豪华的|闪亮亮的|很像食物的|甜甜的	岩石肤	以吃土为生。吃掉一座大山后，就会为了成长而开始沉睡。	0.6	72.0
170	0	沙基拉斯		サナギラス	Pupitar	岩石	地面	碾压|重踏	1111	111	138	昏暗	石制的|坚硬的|豪华的|闪亮亮的|用于观赏的|涩涩的	子弹	虽然全身覆盖着岩盘一样的硬壳，但它力量强大，发狂后连山都会崩塌。	1.2	152.0
171	0	班基拉斯		バンギラス	Tyranitar	岩石	恶	碾压|重踏	1111	111	108|110	昏暗	石制的|坚硬的|豪华的|闪亮亮的|训练用的|辣辣的	铠甲	力气之大，就连改变自己周围的地形也是小菜一碟。个性狂妄，不顾周遭的感受。	2.0	202.0
172	0	莲叶童子		ハスボー	Lotad	水	草	滋润	1111	111	187|109|101	潮湿	能感受水的|能感受大自然的|整洁的|容器|会出声的|涩涩的	浮萍	头上的叶子拥有防污的特性。即使承载满身泥巴的宝可梦，也能保持叶子洁净。	0.5	2.6
173	0	莲帽小童		ハスブレロ	Lombre	水	草	滋润	1111	111	187|101	潮湿	能感受水的|能感受大自然的|整洁的|容器|会出声的|苦苦的	爽朗	傍晚时开始活动的夜行性宝可梦。喜欢吃河底的水苔。	1.2	32.5
174	0	乐天河童		ルンパッパ	Ludicolo	水	草	滋润|带动气氛	1111	111	109	潮湿	能感受水的|能感受大自然的|游乐区|容器|会出声的|涩涩的	乐天	如果听到欢快的音乐，体内就会充满力量，会情不自禁地跳起舞来。	1.5	55.0
175	0	大嘴娃		クチート	Mawile	钢	妖精	交易|建造	1111	111	091	明亮	金属的|可爱的|多彩的|很像食物的|大家一起用的|涩涩的	欺骗	会用温顺的长相让对手大意，然后再用大颚一口咬住对手。咬住后就绝不会松口。	0.6	11.5
176	0	煤炭龟		コータス	Torkoal	火	火	点火	1111	111	112	温暖	能感受火的|石制的|金属的|坚硬的|用于观赏的|涩涩的	煤炭	煤炭是其能量的来源。在煤炭龟栖息着的山里，沉睡着大量的煤炭。	0.5	80.4
177	0	圆法师		コロボーシ	Kricketot	虫	虫	带动气氛	1111	111	128|098	昏暗	能感受大自然的|木制的|会出声的|多彩的|用于观赏的|苦苦的	蟋蟀	每当腿短的它快要跌倒时，坚硬的触角就会互相摩擦，发出如木琴般的声音。	0.3	2.2
178	0	音箱蟀		コロトック	Kricketune	虫	虫	带动气氛	1111	111	128|098	昏暗	能感受大自然的|木制的|会出声的|多彩的|用于观赏的|辣辣的	蟋蟀	通过让声音在体内的空洞回响来使自己的叫声变得悦耳。	1.0	25.5
179	0	聒噪鸟		ペラップ	Chatot	一般	飞行	带动气氛|飞翔	1110	111	102|125	温暖	能感受风的|布制的|细长的|游乐区|会出声的|甜甜的	音符	学习人类的语言来鸣叫。当伙伴们聚集在同一个地方时，大家就会学习到同样的词汇。	0.5	1.9
180	0	利欧路		リオル	Riolu	格斗	格斗	建造	1111	111	127|098	昏暗	训练用的|布制的|建设|群聚的|用于观赏的|辣辣的	波纹	精力充沛，可以奔跑一整夜。由于它十分活泼，带它散步的人非常辛苦。	0.7	20.2
181	0	路卡利欧		ルカリオ	Lucario	格斗	钢	建造	1111	111	127	昏暗	训练用的|金属的|建设|看起来很难懂的|能治愈伤口的|涩涩的	波导	经过锻炼的路卡利欧能使用波导来探测出１公里之外有谁在，还能知道对方的心情。	1.2	54.0
182	0	洛托姆	立体音响洛托姆	ロトム	Rotom	电	一般	DJ	1111	111	128	明亮	闪亮亮的|有玻璃的|会出声的|大家一起用的|棱角分明的|苦苦的	等离子	钻入迷你音响时碰巧听到正在播放的电子流行音乐，深受感动后变成了很嗨的性格。	0.3	0.3
183	0	燃烧虫		メラルバ	Larvesta	虫	火	点火|乱撒	1111	111	105	干燥	能感受大自然的|能感受火的|尖尖的|木制的|象征的|苦苦的	火炬	很久很久以前，人们相信燃烧虫是从太阳上落下来的。	1.1	28.8
184	0	火神蛾		ウルガモス	Volcarona	虫	火	点火|乱撒	1111	111	115|105	干燥	能感受大自然的|能感受火的|有文字的|木制的|象征的|涩涩的	太阳	在炎热之地因其燃烧的身体而备受嫌弃，但在寒冷之地却被信奉为太阳的化身。	1.6	46.0
185	0	木木枭		モクロー	Rowlet	草	飞行	栽培	1111	111	015	昏暗	能感受大自然的|木制的|能感受风的|容器|旋转的|涩涩的	草羽	在狭窄黑暗的地方会很平静。有时候也会用训练家的怀抱或包包代替巢穴。	0.3	1.5
186	0	投羽枭		フクスロー	Dartrix	草	飞行	栽培|伐木	1111	111	100	昏暗	能感受大自然的|木制的|能感受风的|细长的|整洁的|酸酸的	刃羽	非常自恋，又爱美。如果不勤快地给它打理，或许会不听话。	0.7	16.0
187	0	狙射树枭		ジュナイパー	Decidueye	草	幽灵	栽培|伐木	1111	111	136|100	昏暗	能感受大自然的|诡异的|木制的|能感受风的|有文字的|涩涩的	箭羽	搭弦射出收藏在翅膀里的箭羽。有着连前方１００米的小石头也能穿透的精度。	1.6	36.6
188	0	炎兔儿		ヒバニー	Scorbunny	火	火	点火	1111	111	098	温暖	能感受火的|石制的|柔软的|大家一起用的|尖尖的|涩涩的	兔子	通过提升全身的温度，便能发挥出真正的力量。它会为此而做准备运动。	0.3	4.5
189	0	腾蹴小将		ラビフット	Raboot	火	火	点火	1111	111	130|113	温暖	能感受火的|石制的|游乐区|大家一起用的|容器|涩涩的	兔子	蓬松的体毛让它更容易提升火之能量的温度，放出更强的火焰。	0.6	9.0
190	0	闪焰王牌		エースバーン	Cinderace	火	火	点火|带动气氛	1111	111	130|098	温暖	能感受火的|石制的|游乐区|大家一起用的|圆圆的|辣辣的	前锋	会将小石头像足球般用脚挑起，制造出缠绕着火焰的足球。会用猛烈的踢射来燃烧对手。	1.4	33.0
191	0	贪心栗鼠		ホシガリス	Skwovet	一般	一般	找东西|带动气氛	1111	111	002	温暖	柔软的|木制的|用于观赏的|很像食物的|圆圆的|涩涩的	贪吃	不管吃得再怎么饱都还是会担心肚子饿，因此会往脸颊和尾巴里储存树果。	0.3	2.5
192	0	藏饱栗鼠	厨师	ヨクバリス	Greedent	一般	一般	开派对	1111	111	133	温暖	柔软的|金属的|大家一起用的|很像食物的|豪华的|甜甜的	贪欲	因成长于热爱美食的家庭而爱上烹饪。但由于无论吃什么都津津有味，所以在调味方面有些马虎。	1.1	12.0
193	0	小炭仔		タンドン	Rolycoly	岩石	岩石	点火|分类	1111	111	132	温暖	石制的|能感受火的|坚硬的|金属的|交通工具|酸酸的	煤炭	晴天时会在草原东奔西跑，然后吃掉被卷进它那仿佛是车轮的脚里的草。	0.3	12.0
194	0	大炭车		トロッゴン	Carkol	岩石	火	点火|分类	1111	111	132	温暖	石制的|能感受火的|坚硬的|金属的|交通工具|辣辣的	煤炭	由于内部在制造煤焦油，因此就算它跑得再快，背上的煤炭山也不会崩塌。	1.1	78.0
195	0	巨炭山		セキタンザン	Coalossal	岩石	火	点火|分类	1111	111	135|132	温暖	石制的|能感受火的|坚硬的|金属的|交通工具|辣辣的	煤炭	性情温厚，发怒时却十分可怕。它会用燃烧到１５００度的躯体压住对手，将其烧成灰烬。	2.8	310.5
196	0	电音婴		エレズン	Toxel	电	毒	发电	1111	111	124	潮湿	电力驱动的|闪亮亮的|会出声的|有玻璃的|垃圾|甜甜的	婴儿	喝了污水也安然无恙。那是因为它能靠着体内的器官把污水过滤成对自己无害的毒液。	0.4	11.0
197	0	颤弦蝾螈	高调的样子	ストリンダー	Toxtricity	电	毒	发电|带动气氛	1111	111	189	潮湿	电力驱动的|游乐区|会出声的|细长的|尖尖的|辣辣的	庞克	当它一边排出带毒的汗水一边放电时，周围会响起仿佛吉他般的旋律。	1.6	40.0
197	1	颤弦蝾螈	低调的样子	ストリンダー	Toxtricity	电	毒	发电|带动气氛	1111	111	190	潮湿	电力驱动的|游乐区|会出声的|细长的|尖尖的|苦苦的	庞克	当它大口喝下淤水，并在体内制造电气的时候，会响起仿佛像是贝斯的节拍。	1.6	40.0
198	0	狗仔包		パピモッチ	Fidough	妖精	妖精	找东西	1110	111	121|104	温暖	可爱的|用于观赏的|柔软的|能感受火的|有文字的|甜甜的	小狗	吐出的气息中所含有的酵母能在制作料理时派上用场，因此自古以来都受到人们的保护。	0.3	10.9
199	0	麻花犬		バウッツェル	Dachsbun	妖精	妖精	找东西|交易	1110	111	121|104	温暖	可爱的|用于观赏的|大家一起用的|能感受火的|很像食物的|酸酸的	狗	身体散发出的迷人香气有助于小麦的成长，因此在农村一直备受重视。	0.5	14.9
